"ULTIMA ATUALIZACAO";"02/07/2022 02:01"
"ANO";"MES";"SENADOR";"TIPO_DESPESA";"CNPJ_CPF";"FORNECEDOR";"DOCUMENTO";"DATA";"DETALHAMENTO";"VALOR_REEMBOLSADO";"COD_DOCUMENTO"
"2022";"1";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"004.948.028-63";"GILBERTO PISELO DO NASCIMENTO";"001/22";"03/01/2022";"Despesa com pagamento de aluguel de imóvel para uso do escritório político do Senador Acir Gurgacz em Ji-Paraná/RO.";"6000";"2173614"
"2022";"1";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"26.320.603/0001-64";"INFORMANAHORA";"000000000000310/A";"04/01/2022";"Despesa com divulgação da atividade parlamentar no website www.informanahora.com";"1500";"2173615"
"2022";"1";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"13.659.201/0001-47";"LINHA PURPURA FOTO E VIDEO LTDA";"107";"14/01/2022";"Despesa com produção de texto e edição de vídeo para divulgação da atividade parlamentar";"6000";"2173616"
"2022";"1";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"23.652.846/0001-01";"ROBERTO GUTIERREZ DA ROCHA M.E.I.";"187";"18/01/2022";"Divulgação da atividade parlamentar";"1000";"2173618"
"2022";"1";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"08.941.827/0001-01";"RONDONIA DINÂMICA COM. E SERV. DE INFORMÁTICA LTDA";"000000000001772/A";"17/01/2022";"Divulgação da atividade parlamentar";"2000";"2173617"
"2022";"1";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17.872.428/0001-27";"AMERICA VIAGENS E TURISMO LTDA - ME";"ZTRPJB";"24/01/2022";"Companhia Aérea: LATAM, Localizador: ZTRPJB. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3117 - NVTBSB - 01/02/2022;";"1000,36";"2174218"
"2022";"2";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"004.948.028-63";"GILBERTO PISELO DO NASCIMENTO";"002/22";"02/02/2022";"Despesa com pagamento de aluguel de imóvel para uso do escritório de apoio do Senador Acir Gurgacz";"6000";"2174221"
"2022";"2";"ACIR GURGACZ";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"13.659.201/0001-47";"LINHA PURPURA FOTO E VIDEO LTDA";"116";"14/02/2022";"Despesa com produção de texto e edição de vídeo para divulgação da atividade parlamentar";"6000";"2174981"
"2022";"2";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"26.320.603/0001-64";"INFORMANAHORA";"000000000000340/A";"16/02/2022";"Despesa com divulgação da atividade parlamentar no website www.informanahora.com";"1500";"2174982"
"2022";"2";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"41.845.127/0001-99";"J. J. M. CALADO EIRELI";"19";"02/02/2022";"Divulgação da atividade parlamentar";"1000";"2174219"
"2022";"2";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"37.153.908/0001-45";"JANAINA NUNES DE OLIVEIRA";"000000000000067/A";"14/02/2022";"Despesa com divulgação da atividade parlamentar";"1000";"2174980"
"2022";"2";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"37.153.908/0001-45";"JANAINA NUNES DE OLIVEIRA";"000000000000071/A";"28/02/2022";"Divulgação da atividade parlamentar no site O Observador";"1000";"2175731"
"2022";"2";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"23.652.846/0001-01";"ROBERTO GUTIERREZ DA ROCHA M.E.I.";"191";"21/02/2022";"Despesa com divulgação da atividade parlamentar";"1000";"2174985"
"2022";"2";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"08.941.827/0001-01";"RONDONIA DINÂMICA COM. E SERV. DE INFORMÁTICA LTDA";"000000000001797/A";"21/02/2022";"Divulgação da atividade parlamentar";"1000";"2174984"
"2022";"2";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"30.637.754/0001-18";"RUBENS COITINHO DOS SANTOS";"000000000000578/A";"23/02/2022";"Divulgação da atividade parlamentar";"1000";"2175728"
