ÚLTIMA ATUALIZAÇÃO;16/07/2022 05:42                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
NOME_PARLAMENTAR;PARTIDO;UF;TITULARIDADE;MANDATO;TELEFONES;DTNASC;EMAIL;CHEFE_GAB;ENDERECO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ACIR GURGACZ;PDT;RO;Titular;2015 / 2023;(61)3303-3131,(61)3303-3132,;25/02/1962;sen.acirgurgacz@senado.leg.br;Marcello Augusto Castro Varella;SENADO FEDERAL ANEXO 2   ALA TANCREDO NEVES GABINETE 56                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ALESSANDRO VIEIRA;PSDB;SE;Titular;2019 / 2027;(61)3303-9011,(61)3303-9014,;03/04/1975;sen.alessandrovieira@senado.leg.br;Elaine Da Silva Gontijo;SENADO FEDERAL ANEXO 2   ALA AFFONSO ARINOS GABINETE 08                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ALEXANDRE SILVEIRA;PSD;MG;1º Suplente;2015 / 2023;(61)3303-5717,;15/07/1970;sen.alexandresilveira@senado.leg.br;-;SENADO FEDERAL ANEXO 2   ALA TANCREDO NEVES GABINETE 51                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ALVARO DIAS;PODEMOS;PR;Titular;2015 / 2023;(61)3303-4059,(61)3303-4060,;07/12/1944;sen.alvarodias@senado.leg.br;Paulo Kepler Duarte Sampaio Júnior;SENADO FEDERAL ANEXO 2   ALA NILO COELHO 1º PAVIMENTO GABINETE 10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ANGELO CORONEL;PSD;BA;Titular;2019 / 2027;(61)3303-6103,(61)3303-6105,;03/05/1958;sen.angelocoronel@senado.leg.br;Natanael Alves Ferreira;SENADO FEDERAL ANEXO 2   ALA AFFONSO ARINOS GABINETE 03                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
CARLOS PORTINHO;PL;RJ;1º Suplente;2019 / 2027;(61)3303-6640,(61)3303-6613,;02/07/1973;sen.carlosportinho@senado.leg.br;Sérgio Teles Torres;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 19                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
CARLOS VIANA;PL;MG;Titular;2019 / 2027;(61)3303-3100,;22/03/1963;sen.carlosviana@senado.leg.br;Walter Augusto Osorio Junior;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 23                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
CHICO RODRIGUES;UNIÃO;RR;Titular;2019 / 2027;(61)3303-2281,;23/04/1951;sen.chicorodrigues@senado.leg.br;Ajax Porto Pinheiro;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
CID GOMES;PDT;CE;Titular;2019 / 2027;(61)3303-6460,(61)3303-6399,;27/04/1963;sen.cidgomes@senado.leg.br;Glaucio Ribeiro De Pinho;SENADO FEDERAL ANEXO 1  10º PAVIMENTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CONFUCIO MOURA;MDB;RO;Titular;2019 / 2027;(61)3303-2470,(61)3303-2163,;16/05/1948;sen.confuciomoura@senado.leg.br;Flávio Romero Moura Da Cunha Lima (chefe substituto);SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 05                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
DANIELLA RIBEIRO;PSD;PB;Titular;2019 / 2027;(61)3303-6788,(61)3303-6790,;26/03/1972;sen.daniellaribeiro@senado.leg.br;Maria Eduarda Souto De Aquino;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
DARIO BERGER;PSB;SC;Titular;2015 / 2023;(61)3303-5947,(61)3303-5951,(61)3303-5955;07/12/1956;sen.darioberger@senado.leg.br;Eurípedes Alencar De Souza;SENADO FEDERAL ANEXO 1  16º PAVIMENTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
DAVI ALCOLUMBRE;UNIÃO;AP;Titular;2015 / 2023;(61)3303-6717,(61)3303-6720,;19/06/1977;sen.davialcolumbre@senado.leg.br;Ana Paula De Magalhães Albuquerque Lima;SENADO FEDERAL ANEXO 2   ALA AFFONSO ARINOS GABINETE 10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
DRA. EUDOCIA;PSB;AL;1º Suplente;2019 / 2027;(61)3303-6083,;28/08/1964;sen.draeudocia@senado.leg.br;Carlos Rafael De Aguiar Nery;SENADO FEDERAL ANEXO 2   ALA AFFONSO ARINOS GABINETE 07                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
EDUARDO BRAGA;MDB;AM;Titular;2019 / 2027;(61)3303-6230,;06/12/1960;sen.eduardobraga@senado.leg.br;Valéria Simenov Thomé;SENADO FEDERAL ANEXO 1  12º PAVIMENTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
EDUARDO GIRÃO;PODEMOS;CE;Titular;2019 / 2027;(61)3303-6677,(61)3303-6678,;25/09/1972;sen.eduardogirao@senado.leg.br;Francisco Maiorana Neto;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 21                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
EDUARDO GOMES;PL;TO;Titular;2019 / 2027;(61)3303-6349,(61)3303-6352,(61)3303-6354;28/04/1966;sen.eduardogomes@senado.leg.br;Walter Germano De Oliveira;SENADO FEDERAL ANEXO 1  5º PAVIMENTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
EDUARDO VELLOSO;UNIÃO;AC;1º Suplente;2019 / 2027;(61)3303-2115,(61)3303-2119,;08/07/1976;-;Denio José Rodrigues Louro;SENADO FEDERAL ANEXO 2   ALA AFFONSO ARINOS GABINETE 12                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ELIANE NOGUEIRA;PP;PI;1º Suplente;2019 / 2027;(61)3303-6187,(61)3303-6188,;03/07/1949; sen.elianenogueira@senado.leg.br;Myrian Violeta Cavalhero;SENADO FEDERAL ANEXO 1  3º PAVIMENTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ELIZIANE GAMA;CIDADANIA;MA;Titular;2019 / 2027;(61)3303-6741,;27/02/1977;sen.elizianegama@senado.leg.br;Orêmio César De Mello;SENADO FEDERAL ANEXO 2   PAVIMENTO TÉRREO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ELMANO FÉRRER;PP;PI;Titular;2015 / 2023;(61)3303-2415,(61)3303-3055,;01/08/1942;sen.elmanoferrer@senado.leg.br;José Solon De Oliveira Braga Filho;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 06                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
