Nome;Partido ;UF;Período;Sexo;Legislatura
Acir Gurgacz;PDT;RO;2015 - 2023;M;55
Acir Gurgacz;PDT;RO;2009 - 2015;M;54
Acir Gurgacz;PDT;RO;2009 - 2015;M;53
Acir Gurgacz;PDT;RO;2015 - 2023;M;56
Ada Mello;PTB;AL;2007 - 2015;F;53
Adelmir Santana;DEM;DF;2003 - 2011;M;53
Aécio Neves;PSDB;MG;2011 - 2019;M;55
Aécio Neves;PSDB;MG;2011 - 2019;M;54
Airton Sandoval;MDB;SP;2011 - 2019;M;55
Alessandro Vieira;PSDB;SE;2019 - 2027;M;56
Alexandre Silveira;PSD;MG;2015 - 2023;M;56
Alfredo Cotait Neto;DEM;SP;2003 - 2011;M;53
Alfredo Nascimento;PL;AM;2007 - 2015;M;54
Alfredo Nascimento;PL;AM;2007 - 2015;M;53
Almeida Lima;MDB;SE;2003 - 2011;M;53
Aloizio Mercadante;PT;SP;2003 - 2011;M;53
Aloysio Nunes Ferreira;PSDB;SP;2011 - 2019;M;55
Aloysio Nunes Ferreira;PSDB;SP;2011 - 2019;M;54
Alvaro Dias;PODEMOS;PR;2015 - 2023;M;55
Alvaro Dias;PSDB;PR;2007 - 2015;M;54
Alvaro Dias;PSDB;PR;2007 - 2015;M;53
Alvaro Dias;PODEMOS;PR;2015 - 2023;M;56
Ana Amélia;PP;RS;2011 - 2019;F;55
Ana Amélia;PP;RS;2011 - 2019;F;54
Ana Júlia Carepa;PT;PA;2003 - 2011;F;53
Ana Rita;PT;ES;2007 - 2015;F;54
Ana Rita;PT;ES;2007 - 2015;F;53
Ângela Portela;PDT;RR;2011 - 2019;F;55
Ângela Portela;PT;RR;2011 - 2019;F;54
Angelo Coronel;PSD;BA;2019 - 2027;M;56
Anibal Diniz;PT;AC;2007 - 2015;M;54
Anibal Diniz;PT;AC;2007 - 2015;M;53
Antonio Anastasia;PSDB;MG;2015 - 2023;M;55
Antonio Aureliano;PSDB;MG;2007 - 2015;M;54
Antonio Carlos Júnior;DEM;BA;2003 - 2011;M;53
Antonio Carlos Magalhães;PFL;BA;2003 - 2011;M;53
Antonio Carlos Rodrigues;PL;SP;2011 - 2019;M;54
Antonio Carlos Valadares;PSB;SE;2011 - 2019;M;55
Antonio Carlos Valadares;PSB;SE;2011 - 2019;M;54
Antonio Carlos Valadares;PSB;SE;2003 - 2011;M;53
Antonio Russo;PL;MS;2007 - 2015;M;54
Armando Monteiro;PTB;PE;2011 - 2019;M;55
Armando Monteiro;PTB;PE;2011 - 2019;M;54
Arthur Virgílio;PSDB;AM;2003 - 2011;M;53
Assis Gurgacz;PDT;RO;2009 - 2015;M;54
Ataídes Oliveira;PSDB;TO;2011 - 2019;M;55
Ataídes Oliveira;PSDB;TO;2011 - 2019;M;54
Augusto Botelho;S/Partido;RR;2003 - 2011;M;53
Belini Meurer;PT;SC;2003 - 2011;M;53
Benedito de Lira;PP;AL;2011 - 2019;M;55
Benedito de Lira;PP;AL;2011 - 2019;M;54
Blairo Maggi;PL;MT;2011 - 2019;M;55
Blairo Maggi;PL;MT;2011 - 2019;M;54
Carlos Dunga;PTB;PB;2007 - 2015;M;53
Carlos Portinho;PL;RJ;2019 - 2027;M;56
Carlos Viana;PL;MG;2019 - 2027;M;56
Casildo Maldaner;MDB;SC;2007 - 2015;M;54
Casildo Maldaner;MDB;SC;2007 - 2015;M;53
Cássio Cunha Lima;PSDB;PB;2011 - 2019;M;55
Cássio Cunha Lima;PSDB;PB;2011 - 2019;M;54
César Borges;PL;BA;2003 - 2011;M;53
Chico Rodrigues;UNIÃO;RR;2019 - 2027;M;56
Cícero Lucena;PSDB;PB;2007 - 2015;M;54
Cícero Lucena;PSDB;PB;2007 - 2015;M;53
Cid Gomes;PDT;CE;2019 - 2027;M;56
Cidinho Santos;PL;MT;2011 - 2019;M;55
Cidinho Santos;PL;MT;2011 - 2019;M;54
Ciro Nogueira;PP;PI;2011 - 2019;M;55
Ciro Nogueira;PP;PI;2011 - 2019;M;54
Clésio Andrade;MDB;MG;2007 - 2015;M;54
Clésio Andrade;PL;MG;2007 - 2015;M;53
Clovis Fecury;DEM;MA;2011 - 2019;M;54
Confúcio Moura;MDB;RO;2019 - 2027;M;56
Cristovam Buarque;CIDADANIA;DF;2011 - 2019;M;55
Cristovam Buarque;PDT;DF;2011 - 2019;M;54
Cristovam Buarque;PDT;DF;2003 - 2011;M;53
Cyro Miranda;PSDB;GO;2007 - 2015;M;54
Cyro Miranda;PSDB;GO;2007 - 2015;M;53
Dalirio Beber;PSDB;SC;2011 - 2019;M;55
Daniella Ribeiro;PSD;PB;2019 - 2027;F;56
Danimar Cristina;PL;PR;2003 - 2011;F;53
Dário Berger;MDB;SC;2015 - 2023;M;55
Dário Berger;PSB;SC;2015 - 2023;M;56
Davi Alcolumbre;DEM;AP;2015 - 2023;M;55
Davi Alcolumbre;UNIÃO;AP;2015 - 2023;M;56
Deca;PSDB;PB;2011 - 2019;M;55
Delcídio do Amaral;S/Partido;MS;2011 - 2019;M;55
Delcídio do Amaral;PT;MS;2011 - 2019;M;54
Delcídio do Amaral;PT;MS;2003 - 2011;M;53
Demóstenes Torres;S/Partido;GO;2011 - 2019;M;55
Demóstenes Torres;S/Partido;GO;2011 - 2019;M;54
Demóstenes Torres;DEM;GO;2003 - 2011;M;53
Donizeti Nogueira;PT;TO;2015 - 2023;M;55
Douglas Cintra;PTB;PE;2011 - 2019;M;55
Douglas Cintra;PTB;PE;2011 - 2019;M;54
Dra. Eudócia;PSB;AL;2019 - 2027;F;56
Duciomar Costa;PTB;PA;2003 - 2011;M;53
Edison Lobão;MDB;MA;2011 - 2019;M;55
Edison Lobão;MDB;MA;2011 - 2019;M;54
Edison Lobão;MDB;MA;2003 - 2011;M;53
Eduardo Amorim;PSDB;SE;2011 - 2019;M;55
Eduardo Amorim;PSC;SE;2011 - 2019;M;54
Eduardo Azeredo;PSDB;MG;2003 - 2011;M;53
Eduardo Braga;MDB;AM;2011 - 2019;M;55
Eduardo Braga;MDB;AM;2011 - 2019;M;54
Eduardo Braga;MDB;AM;2019 - 2027;M;56
Eduardo Girão;PODEMOS;CE;2019 - 2027;M;56
Eduardo Gomes;PL;TO;2019 - 2027;M;56
Eduardo Lopes;REPUBLICANOS;RJ;2011 - 2019;M;55
Eduardo Lopes;REPUBLICANOS;RJ;2011 - 2019;M;54
Eduardo Suplicy;PT;SP;2007 - 2015;M;54
Eduardo Suplicy;PT;SP;2007 - 2015;M;53
Eduardo Velloso;UNIÃO;AC;2019 - 2027;M;56
Efraim Morais;DEM;PB;2003 - 2011;M;53
Elber Batalha;PSB;SE;2011 - 2019;M;55
Eliane Nogueira;PP;PI;2019 - 2027;F;56
Eliseu Resende;DEM;MG;2007 - 2015;M;54
Eliseu Resende;DEM;MG;2007 - 2015;M;53
Eliziane Gama;CIDADANIA;MA;2019 - 2027;F;56
Elmano Férrer;PODEMOS;PI;2015 - 2023;M;55
Elmano Férrer;PP;PI;2015 - 2023;M;56
Epitácio Cafeteira;PTB;MA;2007 - 2015;M;54
Epitácio Cafeteira;PTB;MA;2007 - 2015;M;53
Esperidião Amin;PP;SC;2019 - 2027;M;56
Euclydes Mello;REPUBLICANOS;AL;2007 - 2015;M;53
Eunício Oliveira;MDB;CE;2011 - 2019;M;55
Eunício Oliveira;MDB;CE;2011 - 2019;M;54
Expedito Júnior;PSDB;RO;2007 - 2015;M;54
Expedito Júnior;PSDB;RO;2007 - 2015;M;53
Fabiano Contarato;PT;ES;2019 - 2027;M;56
Fabio Garcia;UNIÃO;MT;2019 - 2027;M;56
Fátima Bezerra;PT;RN;2015 - 2023;F;55
Fátima Cleide;PT;RO;2003 - 2011;F;53
Fernando Bezerra Coelho;MDB;PE;2015 - 2023;M;55
Fernando Bezerra Coelho;MDB;PE;2015 - 2023;M;56
Fernando Collor;PTC;AL;2015 - 2023;M;55
Fernando Collor;PTB;AL;2007 - 2015;M;54
Fernando Collor;PTB;AL;2007 - 2015;M;53
Fernando Collor;PTB;AL;2015 - 2023;M;56
Fernando Ribeiro;MDB;PA;2011 - 2019;M;55
Fernando Ribeiro;MDB;PA;2011 - 2019;M;54
Flávio Arns;PSDB;PR;2003 - 2011;M;53
Flávio Arns;PODEMOS;PR;2019 - 2027;M;56
Flávio Bolsonaro;PL;RJ;2019 - 2027;M;56
Flávio Torres;PDT;CE;2003 - 2011;M;53
Fleury;DEM;GO;2011 - 2019;M;54
Flexa Ribeiro;PSDB;PA;2011 - 2019;M;55
Flexa Ribeiro;PSDB;PA;2011 - 2019;M;54
Flexa Ribeiro;PSDB;PA;2003 - 2011;M;53
Francisco Dornelles;PP;RJ;2007 - 2015;M;54
Francisco Dornelles;PP;RJ;2007 - 2015;M;53
Garibaldi Alves Filho;MDB;RN;2011 - 2019;M;55
Garibaldi Alves Filho;MDB;RN;2011 - 2019;M;54
Garibaldi Alves Filho;MDB;RN;2003 - 2011;M;53
Garibaldi Alves;MDB;RN;2007 - 2015;M;54
Garibaldi Alves;MDB;RN;2007 - 2015;M;53
Geovani Borges;MDB;AP;2011 - 2019;M;54
Geovani Borges;MDB;AP;2005 - 2011;M;53
Geraldo Mesquita Júnior;MDB;AC;2003 - 2011;M;53
Gerson Camata;MDB;ES;2003 - 2011;M;53
Gilberto Goellner;DEM;MT;2003 - 2011;M;53
Gilberto Piselo;PDT;RO;2015 - 2023;M;55
Gilvam Borges;MDB;AP;2011 - 2019;M;55
Gilvam Borges;MDB;AP;2011 - 2019;M;54
Gilvam Borges;MDB;AP;2005 - 2011;M;53
Giordano;MDB;SP;2019 - 2027;M;56
Givago Tenório;PP;AL;2011 - 2019;M;55
Gladson Cameli;PP;AC;2015 - 2023;M;55
Gleisi Hoffmann;PT;PR;2011 - 2019;F;55
Gleisi Hoffmann;PT;PR;2011 - 2019;F;54
Guaracy Silveira;PSL;TO;2015 - 2023;M;55
Hélio Costa;MDB;MG;2003 - 2011;M;53
Hélio José;PROS;DF;2011 - 2019;M;55
Hélio José;PSD;DF;2011 - 2019;M;54
Heráclito Fortes;DEM;PI;2003 - 2011;M;53
Humberto Costa;PT;PE;2011 - 2019;M;55
Humberto Costa;PT;PE;2011 - 2019;M;54
Humberto Costa;PT;PE;2019 - 2027;M;56
Ideli Salvatti;PT;SC;2003 - 2011;F;53
Inácio Arruda;PCdoB;CE;2007 - 2015;M;54
Inácio Arruda;PCdoB;CE;2007 - 2015;M;53
Ione Guimarães;PTB;GO;2011 - 2019;F;55
Irajá;PSD;TO;2019 - 2027;M;56
Itamar Franco;CIDADANIA;MG;2011 - 2019;M;55
Itamar Franco;CIDADANIA;MG;2011 - 2019;M;54
Ivo Cassol;PP;RO;2011 - 2019;M;55
Ivo Cassol;PP;RO;2011 - 2019;M;54
Ivonete Dantas;MDB;RN;2007 - 2015;F;54
Izalci Lucas;PSDB;DF;2019 - 2027;M;56
Jader Barbalho;MDB;PA;2011 - 2019;M;55
Jader Barbalho;MDB;PA;2011 - 2019;M;54
Jader Barbalho;MDB;PA;2019 - 2027;M;56
Jaques Wagner;PT;BA;2019 - 2027;M;56
Jarbas Vasconcelos;MDB;PE;2007 - 2015;M;54
Jarbas Vasconcelos;MDB;PE;2007 - 2015;M;53
Jarbas Vasconcelos;MDB;PE;2019 - 2027;M;56
Jayme Campos;DEM;MT;2007 - 2015;M;54
Jayme Campos;DEM;MT;2007 - 2015;M;53
Jean Paul Prates;PT;RN;2015 - 2023;M;56
Jean Paul Prates;PT;RN;2015 - 2023;M;55
Jefferson Peres;PDT;AM;2003 - 2011;M;53
Jefferson Praia;PDT;AM;2003 - 2011;M;53
João Alberto Souza;MDB;MA;2011 - 2019;M;55
João Alberto Souza;MDB;MA;2011 - 2019;M;54
João Capiberibe;PSB;AP;2011 - 2019;M;55
João Capiberibe;PSB;AP;2011 - 2019;M;54
João Capiberibe;PSB;AP;2003 - 2011;M;53
João Costa;PPL;TO;2011 - 2019;M;54
João Durval;PDT;BA;2007 - 2015;M;54
João Durval;PDT;BA;2007 - 2015;M;53
João Faustino;PSDB;RN;2003 - 2011;M;53
João Pedro;PT;AM;2007 - 2015;M;54
João Pedro;PT;AM;2007 - 2015;M;53
João Ribeiro;PL;TO;2011 - 2019;M;55
João Ribeiro;PL;TO;2011 - 2019;M;54
João Ribeiro;PL;TO;2003 - 2011;M;53
João Tenório;PSDB;AL;2003 - 2011;M;53
